graph_name,nodes,edges,initial_crossings_neato
grafo1465.55.graphml,55,65,7
grafo1466.61.graphml,61,78,31
grafo1467.49.graphml,49,64,10
grafo1468.62.graphml,62,75,18
grafo1469.67.graphml,67,82,10
grafo147.29.graphml,29,28,0
grafo1470.51.graphml,51,69,33
grafo1471.24.graphml,24,26,0
grafo1472.53.graphml,53,68,31
grafo1473.65.graphml,65,80,10
grafo1474.52.graphml,52,73,46
grafo1475.47.graphml,47,60,11
grafo1476.71.graphml,71,95,45
grafo1477.32.graphml,32,37,4
grafo1478.56.graphml,56,69,9
grafo1479.48.graphml,48,53,2
grafo148.28.graphml,28,35,4
grafo1480.56.graphml,56,77,47
grafo1481.61.graphml,61,75,14
grafo1482.53.graphml,53,67,16
grafo1483.54.graphml,54,67,6
grafo1484.46.graphml,46,57,9
grafo1485.23.graphml,23,22,0
grafo1486.51.graphml,51,60,13
grafo1487.55.graphml,55,71,24
grafo1488.48.graphml,48,58,6
grafo1489.67.graphml,67,77,4
grafo149.41.graphml,41,54,12
grafo1490.47.graphml,47,57,13
grafo1491.48.graphml,48,62,11
grafo1492.54.graphml,54,67,14
grafo1493.66.graphml,66,84,13
grafo1494.50.graphml,50,57,4
grafo1495.58.graphml,58,79,31
grafo1496.52.graphml,52,66,17
grafo1497.71.graphml,71,95,45
grafo1498.48.graphml,48,59,6
grafo1499.32.graphml,32,50,18
grafo150.31.graphml,31,34,4
grafo1500.50.graphml,50,71,26
grafo1501.58.graphml,58,72,12
grafo1502.33.graphml,33,43,3
grafo1503.22.graphml,22,26,2
grafo1504.51.graphml,51,68,22
grafo1505.24.graphml,24,28,0
grafo1506.43.graphml,43,50,7
grafo1507.32.graphml,32,45,12
grafo1508.67.graphml,67,85,20
grafo1509.32.graphml,32,44,14
grafo151.33.graphml,33,38,6
grafo1510.48.graphml,48,54,5
grafo1511.28.graphml,28,30,0
grafo1512.26.graphml,26,30,2
grafo1513.65.graphml,65,84,23
grafo1514.47.graphml,47,55,4
grafo1515.53.graphml,53,68,18
grafo1516.71.graphml,71,101,56
grafo1517.63.graphml,63,74,5
grafo1518.67.graphml,67,85,36
grafo1519.44.graphml,44,52,5
grafo152.21.graphml,21,24,1
grafo1520.51.graphml,51,65,21
grafo1521.24.graphml,24,38,6
grafo1522.43.graphml,43,53,4
grafo1523.27.graphml,27,35,8
grafo1524.46.graphml,46,61,15
grafo1525.65.graphml,65,85,38
grafo1526.24.graphml,24,25,0
grafo1527.65.graphml,65,77,10
grafo1528.50.graphml,50,56,3
grafo1529.73.graphml,73,90,22
grafo153.21.graphml,21,33,16
grafo1530.24.graphml,24,27,0
grafo1531.47.graphml,47,54,0
grafo1532.51.graphml,51,61,15
grafo1533.50.graphml,50,66,22
grafo1534.30.graphml,30,32,1
grafo1535.48.graphml,48,53,1
